Date,Product ID,Category,Region,Units Sold,Price,Discount,Weather Condition,Holiday/Promotion,Competitor Pricing,Seasonality,Year
2025-01-01,P0001,Home Appliances,International,345,180.92,10,Cloudy,1,182.53,Winter,2025
2025-01-01,P0002,Sports,East,67,132.11,40,Rainy,1,112.29,Winter,2025
2025-01-01,P0003,Furniture,East,207,343.07,10,Foggy,1,274.55,Winter,2025
2025-01-01,P0004,Groceries,North,743,87.24,40,Snowy,1,70.5,Winter,2025
2025-01-01,P0005,Beauty,West,618,31.38,15,Sunny,1,27.66,Winter,2025
2025-01-01,P0006,Electronics,Central,679,64.31,50,Snowy,1,61.95,Winter,2025
2025-01-01,P0007,Toys,East,739,49.2,0,Rainy,1,55.58,Winter,2025
2025-01-01,P0008,Electronics,International,194,378.3,20,Rainy,1,334.55,Winter,2025
2025-01-01,P0009,Toys,International,453,97.83,40,Sunny,1,91.65,Winter,2025
2025-01-01,P0010,Furniture,South,314,250.26,40,Sunny,1,249.93,Winter,2025
2025-01-01,P0011,Electronics,East,429,369.82,25,Snowy,1,415.8,Winter,2025
2025-01-01,P0012,Toys,North,0,86.53,50,Snowy,1,98.33,Winter,2025
2025-01-01,P0013,Clothing,Central,1433,87.21,30,Rainy,1,99.23,Winter,2025
2025-01-01,P0014,Groceries,Central,128,30.48,50,Cloudy,1,24.55,Winter,2025
2025-01-01,P0015,Electronics,South,66,43.93,20,Rainy,1,38.2,Winter,2025
2025-01-01,P0016,Groceries,International,1312,64.06,0,Foggy,1,65.85,Winter,2025
2025-01-01,P0017,Furniture,East,249,299.35,30,Rainy,1,278.33,Winter,2025
2025-01-01,P0018,Toys,North,877,92.53,30,Rainy,1,92.2,Winter,2025
2025-01-01,P0019,Groceries,West,697,30.93,20,Snowy,1,25.18,Winter,2025
2025-01-01,P0020,Beauty,East,108,42.58,40,Cloudy,1,47.41,Winter,2025
2025-01-01,P0021,Beauty,East,566,99.71,10,Rainy,1,100.86,Winter,2025
2025-01-01,P0022,Electronics,North,492,792.64,30,Cloudy,1,807.32,Winter,2025
2025-01-01,P0023,Clothing,Central,139,72.05,20,Snowy,1,68.14,Winter,2025
2025-01-01,P0024,Beauty,West,338,24.26,40,Sunny,1,27.11,Winter,2025
2025-01-01,P0025,Toys,International,89,24.99,20,Cloudy,1,24.66,Winter,2025
2025-01-01,P0026,Toys,International,631,32.42,25,Sunny,1,27.85,Winter,2025
2025-01-01,P0027,Home Appliances,North,287,1.0,50,Cloudy,1,0.89,Winter,2025
2025-01-01,P0028,Home Appliances,North,279,411.73,40,Cloudy,1,473.16,Winter,2025
2025-01-01,P0029,Electronics,North,210,396.12,30,Snowy,1,364.74,Winter,2025
2025-01-01,P0030,Toys,West,1076,74.55,0,Cloudy,1,74.07,Winter,2025
2025-01-01,P0031,Toys,North,186,58.33,25,Rainy,1,63.06,Winter,2025
2025-01-01,P0032,Sports,East,386,136.73,10,Sunny,1,147.59,Winter,2025
2025-01-01,P0033,Home Appliances,Central,278,531.17,10,Cloudy,1,485.53,Winter,2025
2025-01-01,P0034,Toys,Central,591,90.7,15,Windy,1,75.61,Winter,2025
2025-01-01,P0035,Clothing,North,0,93.98,30,Snowy,1,97.41,Winter,2025
2025-01-01,P0036,Beauty,West,0,53.04,0,Sunny,1,46.67,Winter,2025
2025-01-01,P0037,Groceries,East,575,53.18,10,Foggy,1,61.09,Winter,2025
2025-01-01,P0038,Beauty,North,456,76.39,30,Snowy,1,68.57,Winter,2025
2025-01-01,P0039,Sports,West,277,151.22,15,Snowy,1,167.96,Winter,2025
2025-01-01,P0040,Furniture,East,390,479.52,50,Foggy,1,541.4,Winter,2025
2025-01-01,P0041,Sports,North,40,48.37,0,Foggy,1,46.29,Winter,2025
2025-01-01,P0042,Beauty,International,461,7.93,30,Rainy,1,8.41,Winter,2025
2025-01-01,P0043,Furniture,Central,0,402.69,0,Cloudy,1,411.84,Winter,2025
2025-01-01,P0044,Home Appliances,International,219,303.04,20,Cloudy,1,338.54,Winter,2025
2025-01-01,P0045,Clothing,North,0,129.85,20,Cloudy,1,143.15,Winter,2025
2025-01-01,P0046,Toys,West,524,146.4,20,Foggy,1,119.35,Winter,2025
2025-01-01,P0047,Toys,West,470,12.24,30,Foggy,1,13.0,Winter,2025
2025-01-01,P0048,Beauty,North,0,64.81,30,Sunny,1,74.09,Winter,2025
2025-01-01,P0049,Sports,International,123,51.75,0,Sunny,1,50.19,Winter,2025
2025-01-01,P0050,Toys,East,442,96.83,10,Cloudy,1,79.85,Winter,2025
2025-01-01,P0051,Clothing,West,1037,29.18,30,Cloudy,1,26.36,Winter,2025
2025-01-01,P0052,Toys,East,907,77.84,25,Cloudy,1,73.71,Winter,2025
2025-01-01,P0053,Beauty,East,397,25.47,50,Sunny,1,25.97,Winter,2025
2025-01-01,P0054,Furniture,East,61,299.86,0,Sunny,1,332.94,Winter,2025
2025-01-01,P0055,Furniture,West,507,53.95,25,Sunny,1,49.36,Winter,2025
2025-01-01,P0056,Home Appliances,West,209,200.3,40,Cloudy,1,181.5,Winter,2025
2025-01-01,P0057,Toys,East,241,93.01,10,Cloudy,1,105.83,Winter,2025
2025-01-01,P0058,Electronics,West,303,319.27,25,Sunny,1,333.58,Winter,2025
2025-01-01,P0059,Beauty,North,0,8.58,15,Cloudy,1,7.62,Winter,2025
2025-01-01,P0060,Toys,East,214,60.64,50,Windy,1,49.75,Winter,2025
2025-01-01,P0061,Clothing,West,329,12.68,50,Windy,1,10.96,Winter,2025
2025-01-01,P0062,Toys,West,1331,72.59,10,Snowy,1,69.14,Winter,2025
2025-01-01,P0063,Toys,South,198,67.17,50,Cloudy,1,56.56,Winter,2025
2025-01-01,P0064,Beauty,East,676,67.54,10,Rainy,1,65.02,Winter,2025
2025-01-01,P0065,Beauty,West,489,37.47,0,Cloudy,1,42.22,Winter,2025
2025-01-01,P0066,Clothing,South,857,155.89,40,Windy,1,176.21,Winter,2025
2025-01-01,P0067,Groceries,North,1061,60.96,0,Snowy,1,63.22,Winter,2025
2025-01-01,P0068,Home Appliances,Central,208,290.5,50,Snowy,1,296.04,Winter,2025
2025-01-01,P0069,Furniture,South,223,127.2,20,Cloudy,1,111.31,Winter,2025
2025-01-01,P0070,Furniture,International,110,348.44,10,Sunny,1,358.72,Winter,2025
2025-01-01,P0071,Toys,South,742,31.58,40,Rainy,1,30.75,Winter,2025
2025-01-01,P0072,Electronics,International,145,535.67,0,Foggy,1,506.89,Winter,2025
2025-01-01,P0073,Home Appliances,Central,443,1.0,0,Snowy,1,1.0,Winter,2025
2025-01-01,P0074,Groceries,East,365,44.23,20,Rainy,1,48.81,Winter,2025
2025-01-01,P0075,Clothing,West,117,107.81,30,Cloudy,1,95.24,Winter,2025
2025-01-01,P0076,Toys,West,1429,55.05,50,Sunny,1,49.77,Winter,2025
2025-01-01,P0077,Clothing,International,1377,59.46,40,Cloudy,1,61.65,Winter,2025
2025-01-01,P0078,Toys,Central,328,39.56,25,Cloudy,1,39.99,Winter,2025
2025-01-01,P0079,Beauty,East,791,36.94,15,Foggy,1,42.15,Winter,2025
2025-01-01,P0080,Home Appliances,West,359,514.23,10,Snowy,1,535.22,Winter,2025
2025-01-01,P0081,Clothing,International,603,78.66,25,Sunny,1,69.06,Winter,2025
2025-01-01,P0082,Beauty,South,577,1.0,50,Snowy,1,1.1,Winter,2025
2025-01-01,P0083,Furniture,South,166,380.09,40,Rainy,1,350.66,Winter,2025
2025-01-01,P0084,Groceries,Central,475,1.0,40,Cloudy,1,0.89,Winter,2025
2025-01-01,P0085,Electronics,West,155,38.43,40,Snowy,1,38.43,Winter,2025
2025-01-01,P0086,Furniture,West,297,443.13,25,Sunny,1,460.13,Winter,2025
2025-01-01,P0087,Clothing,West,0,53.79,20,Cloudy,1,52.98,Winter,2025
2025-01-01,P0088,Sports,Central,278,1.0,40,Windy,1,1.12,Winter,2025
2025-01-01,P0089,Toys,West,71,89.4,30,Sunny,1,76.72,Winter,2025
2025-01-01,P0090,Home Appliances,South,514,131.99,15,Foggy,1,147.87,Winter,2025
2025-01-01,P0091,Clothing,West,246,70.48,10,Sunny,1,64.66,Winter,2025
2025-01-01,P0092,Sports,North,500,27.34,50,Rainy,1,24.42,Winter,2025
2025-01-01,P0093,Beauty,Central,0,37.5,25,Cloudy,1,33.67,Winter,2025
2025-01-01,P0094,Toys,South,515,20.13,25,Windy,1,16.64,Winter,2025
2025-01-01,P0095,Beauty,International,0,96.49,40,Windy,1,79.99,Winter,2025
2025-01-01,P0096,Home Appliances,Central,227,84.83,40,Cloudy,1,90.95,Winter,2025
2025-01-01,P0097,Electronics,North,615,266.54,50,Sunny,1,266.32,Winter,2025
2025-01-01,P0098,Beauty,East,1482,57.06,15,Rainy,1,63.88,Winter,2025
2025-01-01,P0099,Electronics,International,359,628.43,40,Sunny,1,555.77,Winter,2025
2025-01-01,P0100,Toys,International,114,39.7,40,Rainy,1,43.96,Winter,2025
2025-01-02,P0001,Groceries,North,207,33.42,5,Snowy,1,32.82,Winter,2025
2025-01-02,P0002,Clothing,East,289,124.87,5,Snowy,1,124.41,Winter,2025
2025-01-02,P0003,Furniture,East,52,149.16,5,Rainy,0,158.75,Winter,2025
2025-01-02,P0004,Beauty,East,299,18.66,0,Cloudy,0,15.02,Winter,2025
